,longitude,latitude
N1_US101,-118.7330483,34.15239
N2_US101,-118.727227,34.143416
N3_US101,-118.7030083,34.17189833
N5_US101,-118.677089,34.165424
S3_US101,-118.722772,34.126355
S4_US101,-118.6861577,34.1376787
E_I405,-118.457474,34.105745
W_I405,-118.501099,34.131375
HollywoodReservoir,-118.3328819,34.1213265
E_KananRd,-118.7918615,34.1067945
W_KananRd,-118.8186836,34.1072563
E_MalibuCyn,-118.705824,34.099964
W_MalibuCyn,-118.719129,34.095218
CorralCyn,-118.73543,34.0347371
MonteNido,-118.668532,34.069953
NewburyPark,-118.910656,34.1841717
E_N23,-118.83928,34.193351
PacificPallisades,-118.5264702,34.0518259
S_StuntRd,-118.6547383,34.10028833
SE_TopangaCyn,-118.587035,34.087626
NE_TopangaCyn,-118.57622,34.159718
