Sample,PopID
LACM107541,PacificPallisades
LACM112287,KananRd
MVZCCGP-CaOr104_I-H10,N23
MVZCCGP-CaOr30_I-F03,CorralCyn
MVZCCGP-CaOr33_I-A04,TopangaCyn
MVZCCGP-CaOr35_I-C04,MonteNido
T05B038,US101
T11B098,MalibuCyn
T11B111,US101
T1B050,US101
T1B052,US101
T1B054,US101
T1B075,MalibuCyn
T1B081,I405
T1B082,I405
T2B001,StuntRd
T2B029,US101
T2B060,TopangaCyn
T2B084,I405
T2B085,I405
T2B086,I405
T3B024,US101
T3B032,US101
T3B066,US101
T3B091,I405
T3B092,I405
T3B109,US101
T4B004,StuntRd
T4B009,US101
T4B057,TopangaCyn
T4B073,MalibuCyn
T4B074,MalibuCyn
T4B096,I405
T4B110,US101
T5B093,I405
T6B055,TopangaCyn
T6B067,US101
T6B107,MalibuCyn
T7B013,US101
T7B036,US101
T8B041,US101
T8B070,US101
T8B094,I405
T9B090,I405
WFVZ52698,NewburyPark
WFVZ53206,KananRd
