Sample,SideID
LACM107541,2
LACM112287,2
MVZCCGP-CaOr104_I-H10,2
MVZCCGP-CaOr30_I-F03,2
MVZCCGP-CaOr33_I-A04,2
MVZCCGP-CaOr35_I-C04,2
T05B038,2
T11B098,1
T11B111,2
T1B050,1
T1B052,1
T1B054,1
T1B075,2
T1B081,1
T1B082,1
T2B001,2
T2B029,1
T2B060,2
T2B084,1
T2B085,1
T2B086,1
T3B024,1
T3B032,1
T3B066,1
T3B091,2
T3B092,2
T3B109,2
T4B004,2
T4B009,1
T4B057,2
T4B073,2
T4B074,2
T4B096,2
T4B110,2
T5B093,2
T6B055,2
T6B067,1
T6B107,1
T7B013,1
T7B036,2
T8B041,2
T8B070,1
T8B094,2
T9B090,1
WFVZ52698,2
WFVZ53206,1
