# Assembly name:  bCalCai1.0.p
# Organism name:  Callipepla californica brunnescens (California quail)
# Isolate:  MVZ:Bird:193975
# Sex:  male
# Taxid:          2893758
# BioSample:      SAMN26894057
# BioProject:     PRJNA819182
# Submitter:      UCLA
# Date:           2022-05-05
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JALIRH01
# Assembly method: HiFiasm v. 0.16.1-r375; purge_dups v. 1.2.5; SALSA2 v. 2
# Expected final version: yes
# Genome coverage: 40x
# Sequencing technology: PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_023055505.1
# Linked assembly: GCA_023055725.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023055515.1		Primary Assembly
## GCA_023055525.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
SCAF_1	unplaced-scaffold	na	na	JALIRH010000001.1	<>	na	Primary Assembly	121926015	na
SCAF_2	unplaced-scaffold	na	na	JALIRH010000002.1	<>	na	Primary Assembly	80829437	na
SCAF_3	unplaced-scaffold	na	na	JALIRH010000003.1	<>	na	Primary Assembly	68643687	na
SCAF_4	unplaced-scaffold	na	na	JALIRH010000004.1	<>	na	Primary Assembly	53416606	na
SCAF_5	unplaced-scaffold	na	na	JALIRH010000005.1	<>	na	Primary Assembly	43834372	na
SCAF_6	unplaced-scaffold	na	na	JALIRH010000006.1	<>	na	Primary Assembly	42153796	na
SCAF_7	unplaced-scaffold	na	na	JALIRH010000007.1	<>	na	Primary Assembly	30073597	na
SCAF_8	unplaced-scaffold	na	na	JALIRH010000008.1	<>	na	Primary Assembly	22756518	na
SCAF_9	unplaced-scaffold	na	na	JALIRH010000009.1	<>	na	Primary Assembly	22450941	na
SCAF_10	unplaced-scaffold	na	na	JALIRH010000010.1	<>	na	Primary Assembly	20566091	na
SCAF_11	unplaced-scaffold	na	na	JALIRH010000011.1	<>	na	Primary Assembly	19876581	na
SCAF_12	unplaced-scaffold	na	na	JALIRH010000012.1	<>	na	Primary Assembly	19408658	na
SCAF_13	unplaced-scaffold	na	na	JALIRH010000013.1	<>	na	Primary Assembly	18906995	na
SCAF_14	unplaced-scaffold	na	na	JALIRH010000014.1	<>	na	Primary Assembly	18310531	na
SCAF_15	unplaced-scaffold	na	na	JALIRH010000015.1	<>	na	Primary Assembly	15888862	na
SCAF_16	unplaced-scaffold	na	na	JALIRH010000016.1	<>	na	Primary Assembly	15455407	na
SCAF_17	unplaced-scaffold	na	na	JALIRH010000017.1	<>	na	Primary Assembly	14490932	na
SCAF_18	unplaced-scaffold	na	na	JALIRH010000018.1	<>	na	Primary Assembly	14030056	na
SCAF_19	unplaced-scaffold	na	na	JALIRH010000019.1	<>	na	Primary Assembly	13691472	na
SCAF_20	unplaced-scaffold	na	na	JALIRH010000020.1	<>	na	Primary Assembly	13641242	na
SCAF_21	unplaced-scaffold	na	na	JALIRH010000021.1	<>	na	Primary Assembly	12744333	na
